row_type,stratum,source_id,genre,word_count,len_bin,S_rater1,R_rater1,S_rater2,R_rater2,model_rater1,model_rater2,S_sigma_rater1,R_sigma_rater1,S_sigma_rater2,R_sigma_rater2,n_sources,pearson_S,pearson_R,icc_S_ICC21,icc_R_ICC21
source,,academic_02,academic,241,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_06,academic,255,long,0.0,0.0,1.0,-0.5,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.5,,,,,
source,,academic_07,academic,285,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_10,academic,178,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_11,academic,166,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_12,academic,236,long,0.0,0.0,1.0,-0.5,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.5,,,,,
source,,academic_13,academic,166,mid,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_15,academic,240,long,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_16,academic,258,long,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_17,academic,273,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_18,academic,181,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_19,academic,253,long,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_20,academic,151,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_22,academic,177,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_23,academic,218,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_04,narrative,265,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,narrative_05,narrative,278,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_06,narrative,242,long,0.0,0.0,0.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_09,narrative,345,long,0.0,0.0,-1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
